# Populated places used to name carpool stops. GENERATED FILE — do not edit.
# Regenerate with scripts/generate-places.mjs (see that file for the source data).
#
# Source: GeoNames (https://www.geonames.org/), licensed CC BY 4.0.
# Norway: every populated place. Sweden: those within 150 km of Norway.
#
# One place per line: name|latitude|longitude
Vikso, Øygarden|60.1661|5.0375
Vikran, Tromsø|69.55|18.8
Vikran, Steinkjer|64.1513|11.9442
Vikøyri, Vik|61.0871|6.5791
Vikjorda, Vestvågøy|68.2333|14.0833
Vikja, Fjaler|61.3167|5.1167
Vikja, Askvoll|61.3|4.7333
Viki, Voss|60.621|6.2819
Vikestad, Bindal|65.1333|12.2667
Vikeså, Bjerkreim|58.6376|6.0913
Vikersund, Modum|59.9684|9.9911
Viker, Hvaler|59.0383|10.9487
Viken, Valle|59.2|7.55
Vikedal, Vindafjord|59.498|5.9059
Vikebygd, Ullensvang|60.2466|6.5666
Vikebukt, Vestnes|62.6161|7.1488
Vike, Alver|60.7|5.5667
Vike, Modum|59.95|10.0167
Vige, Kristiansand|58.0662|7.7296
Vikdal, Flatanger|64.45|10.6833
Vikavågen, Øygarden|60.4692|4.9584
Vikasjøen, Sømna|65.3167|12.15
Vikane, Gulen|60.9333|5.1167
Vikene, Fredrikstad|59.2141|10.7929
Vikan, Bodø|67.3|14.7
Vikan, Steinkjer|64.1|11.3833
Vikan, Indre Fosen|63.5167|10.1667
Vikan, Hustadvika|62.9458|7.0177
Vikaleira, Frosta|63.5667|10.7333
Vika, Senja|69.2583|17.9394
Vika, Senja|69.1667|17.7667
Vika, Målselv|69|19.55
